1,0,264,7168,264,896
1,0,1536,1536,768,1536
1,0,2048,512,256,512
1,0,7168,1024,448,1024
1,0,2304,7168,2304,1792
1,0,7168,1152,1792,1152
1,0,256,7168,256,1792
1,0,7168,128,448,128
1,0,4096,7168,512,1792
1,0,7168,2048,224,2048
1,1,256,7168,128,448
1,1,8080,7168,2020,896
1,1,16160,7168,4040,896
1,1,448,14336,224,896
1,1,896,14336,448,896
0,0,264,7168,132,448
0,0,3072,1536,96,1536
0,0,4608,7168,576,1792
0,0,7168,2304,224,2304
0,0,512,7168,128,896
0,0,7168,256,224,256
0,0,4096,7168,512,1792
0,0,7168,2048,224,2048
0,0,1536,1536,48,1536
0,0,7168,1024,224,1024
0,0,256,7168,128,448
0,0,7168,128,224,128
0,0,2304,7168,288,1792
0,0,7168,1152,224,1152
0,1,256,7168,256,224
0,1,8080,7168,2020,896
0,1,16160,7168,4040,896
0,1,448,14336,448,448
0,1,896,14336,448,896
